ss001,-0.48641123,-1.36043046,,0.43746351,-1.26323058,-0.83229499,,,-0.33230664,0.91718873,-0.42796776,-0.54380667,0.87049173,-1.15088902,-1.03722836,0.55694092,0.67059718,-0.76733487,-0.39540099,-0.46708811,-0.34598628,-0.54088865,-0.47603129,,,0.95573251,-0.55444262,-1.64939151,0.99296899,-0.5446897,0.45498183,-0.54386799,1.16347887,1.09409549,0.56463302,-1.16153243,2.26608554,,,-1.50759062,2.35897061,,0.88516232,1.73258627,0.60124767,0.61368801,1
ss008,1.64713052,-1.62956315,-1.3078991,-0.9005553,1.3235704,-0.91377202,-0.69168034,-0.86347158,1.50204991,-0.79227005,-1.30452908,-1.22382873,1.21969207,1.07964389,-0.91216173,0.92542598,0.5626181,-1.75010581,-0.67131059,0.63897188,-1.59737355,0.93545732,-1.56068948,-1.13004778,-0.46259329,1.72935393,,1.81895136,,1.67146061,-0.93303153,1.02025786,1.56663137,-1.10282777,-1.08928611,0.79145494,-1.81572465,-1.13558554,-2.40838651,1.17983685,,-1.39446397,0.78784914,-1.29258039,-0.83415609,-0.98258218,1
ss011,3.40595149,,-0.81333376,,0.70746883,1.72153315,,,1.24311675,-0.57781722,-0.42183322,1.41557265,-0.75484356,,,0.71875271,0.7123452,0.5056578,-0.39901178,1.01161843,-0.62232886,-0.99390704,-1.03730605,,,1.25779615,-1.12229996,1.13521985,2.04651337,4.53811993,1.19450194,1.55106715,2.88580315,1.30116249,1.00456842,-2.34826705,,,,,0.82288376,2.23454254,1.03633133,-1.6116193,-1.41146076,-0.99893572,1
ss014,0.84038455,0.15700446,0.08274979,0.10485767,0.23236957,-0.21893984,,,0.26152194,0.50258252,0.19761116,-0.14736979,0.10058211,-0.13589229,,,0.51138429,0.74335829,-0.20301528,0.4865463,-0.22879051,-0.24438872,0.21606499,,,0.12368488,0.52487158,0.17852707,0.96397928,0.36044577,0.57389667,0.57324396,0.69213818,0.10453488,0.17674052,0.15516317,0.15283107,-0.09033166,-0.23291689,0.2377512,0.12704914,0.46201704,0.46186796,0.79427587,0.34428721,0.4150764,1
ss018,0.68635221,0.38452749,-0.13777914,-0.92821658,0.69396355,-0.60102825,,,,1.15978104,0.17564109,0.15112993,0.30814332,0.32297557,,,2.1971803,1.0182766,-0.79644895,-0.37566334,-1.26189238,-1.07820487,-0.80243187,,,0.14698295,1.62406641,1.02656114,1.07358376,-1.06558672,0.93115974,0.92392584,1.70578541,0.39968057,0.44195847,-1.58688372,0.73699219,0.86183302,0.43450745,5.68591122,2.14003833,0.62150791,0.68083325,1.09419008,0.78055123,1.00979852,1
ss025,2.64269815,-0.57025126,0.49642885,0.18157158,0.63124397,0.45778233,-0.26376164,1.75418433,1.06359238,0.7065821,-0.37369828,0.51073116,-0.59737865,-0.2871516,0.51321394,0.75046713,0.35426568,0.26490608,0.33717926,-0.57036091,-0.17315253,-0.2665732,-0.41279781,-0.65841099,-0.24208792,-0.22370702,0.89715655,1.27079119,0.69110201,0.86990674,1.01673018,1.17812668,1.32058319,0.5785359,1.81558841,0.36745665,0.50961494,0.33933278,-1.55042086,-1.25040997,-0.57477169,0.39264033,0.39843915,0.12569999,0.58685812,0.6364583,1
ss027,0.24926381,-0.13315726,-0.40133238,-0.51163449,-0.68023137,-0.56774639,-0.5467617,-0.85087559,-0.8953839,-1.93221498,-0.46649703,-0.25628542,-0.29632345,-0.33872819,-0.27974948,-0.57291201,-0.54585708,-0.30394539,-0.14707283,-0.17954675,-0.15571512,-0.35762262,-0.42512454,-0.25459326,-0.24517675,-0.46848673,-0.45522897,0.37403231,0.9220076,-0.69871362,-0.20419173,0.38112205,1.1370262,-0.67624214,-0.53080272,-0.56708524,-0.50783302,-0.37143393,-0.18429984,-0.31005675,-0.16105916,0.39795501,1.11126938,-0.80569524,-0.32988438,-0.4871418,1
ss037,0.7117744,-0.80160781,-0.50083401,-0.55797898,0.89883442,1.05270697,-0.65190822,0.88772924,1.08305341,-1.53842432,-0.48883987,-0.73704958,1.35363095,,-0.63048794,-0.55385509,0.76072354,1.07836572,0.45706075,1.41551512,1.7691316,,0.8454292,1.98669627,1.02085108,1.64648685,2.98915761,1.87843966,1.29528897,,1.64619723,-3.09806032,,0.75686929,0.65632911,0.64136119,1.67135187,1.24495247,2.74186447,2.88722651,1.20117729,-7.69888546,,,0.98194656,1.10938118,1
ss038,1.67161144,1.20211258,0.69256603,-0.51733826,0.69913732,1.14643986,-2.73066387,0.79026164,,1.75607529,,1.04835016,0.32137438,0.46107494,0.50454861,0.77825282,1.23635356,-0.84548744,0.86620446,-2.39192065,,1.74394131,1.07422257,-0.51662365,-0.94371675,,1.24246035,-4.46648744,,,3.10367764,1.80137361,,,-0.54647083,1.74136784,,,0.74908308,2.16869044,,6.40513002,,,0.84900122,0.98989332,1
ss039,0.24717957,-0.98575615,0.68629294,-0.68699987,0.42683033,0.66594364,0.92702361,0.47449817,-1.36268029,0.58309937,1.28901943,0.82274406,0.80000216,0.78695544,0.87625814,1.30463994,0.83196286,0.90944606,-0.47851338,0.62751826,-0.96778824,-0.82691244,-0.46494334,-0.85321311,0.36492452,-0.7641429,0.9134994,1.17499573,-0.3913903,1.65606354,1.01189137,-0.41168044,-0.89873556,-0.52835471,0.74589368,-0.68171073,-0.62440923,-0.56747176,0.66295098,-0.5005168,0.19874672,-1.11899355,0.43200193,0.68182675,-0.75819054,-0.83317276,1
