ss002,-0.50189588,0.19365413,-0.21281265,0.19809796,0.6874875,0.37711779,0.23460129,0.78644242,1.06509899,-0.38974009,-0.5605914,-0.37952559,0.16237755,-0.30333195,0.57892204,0.48712811,0.88943788,0.64456342,0.3852843,0.29688248,0.1630392,-0.19866316,-0.17196186,0.44669878,0.22147278,0.27772262,0.25802485,0.75046415,-1.97300298,-0.80983508,0.36148579,0.8820748,0.53133504,0.38586799,-0.29522659,-0.59447325,-0.31116931,0.52020731,0.48286538,0.81840834,0.73394799,1.39188161,0.49290938,0.81705429,1.19847775,1.29816756,1
ss004,1.74412707,-0.57229329,0.68078328,0.38861145,2.85497369,1.38477343,0.45436691,2.39519581,1.36151924,4.61793412,,0.64631024,1.0060306,0.48600197,1.44405841,1.10492884,1.79861283,0.46141358,-0.45682453,0.55482522,0.29076309,1.18343169,-0.22999608,0.96996963,-0.68995379,0.53326672,1.98459039,1.76441112,1.03100442,1.28057951,1.51366282,1.58930148,1.11813727,1.45475157,0.62575304,0.84018056,1.0484341,0.4104087,1.35284936,-0.66235752,-0.19065485,0.61062769,0.3680218,0.91002497,0.98414292,1.00573017,1
ss005,0.6911336,-0.79656558,-1.60754287,0.62084469,0.78857095,0.72402012,-0.42550007,1.05034618,,3.2420122,0.48163005,0.62526978,-2.24589972,,0.67556081,-0.69342878,1.18803929,0.69744289,0.75618557,0.96271647,-0.80748833,1.88123686,-0.40582578,-0.49156354,1.70850561,0.53813519,0.81488599,-1.01458739,-1.69808232,2.0423944,0.9830792,0.76447595,-0.4260562,-0.58659331,-0.29824687,0.68348193,0.62482003,-1.32956022,-0.61660803,-0.49400438,0.66331355,0.68008718,0.44621638,2.28653692,0.86653573,0.95638834,1
ss009,3.05270016,,-2.0518901,-0.73119523,0.99219074,1.1766,,,2.03941713,2.2480215,1.22436891,-5.99109628,,-0.99373969,,,2.3729306,1.04466558,1.31474944,-1.53176322,1.38711208,1.41874289,1.78288246,,,,2.55628393,1.92019914,2.08341182,1.65638568,0.994206,1.00243988,1.19257072,-1.02342292,,-3.24228688,1.13659523,1.14253409,1.70683483,3.45196958,1.36741684,0.79406164,1.74172116,4.86682698,,0.97203283,1
ss017,1.83621233,3.98153601,,0.83267474,-0.5244502,-0.86803629,,,1.64042806,1.1440423,-2.30187899,0.93468041,-1.81681824,,,,1.02376968,1.42630513,0.72402779,1.11169601,0.87771117,-0.92846243,0.54011105,0.68866632,,-5.42828866,,0.95384812,-1.04325007,1.90325263,1.24401992,1.24393885,1.11977399,1.69459237,,-1.37272754,0.38928949,3.29990077,2.11270442,8.07115303,,-0.81343974,-0.97769942,0.88888751,-0.47015162,-0.49583471,1
ss024,0.51546904,-0.86044126,0.72628098,0.82659819,1.07430106,0.97006234,1.32752237,1.24803499,1.65079216,1.10846475,1.02016838,0.93421699,0.72940001,0.83825488,0.66899551,1.53901713,0.70233314,0.29119962,-0.29688394,-0.30211669,0.3981078,0.96211065,0.63878786,0.60109133,1.11033145,0.333638,1.0967198,0.70855336,1.10187723,1.95279238,1.58361347,1.61578394,0.99304727,0.74621444,-0.96883331,0.94520459,0.65705152,0.37776501,-1.87397747,,,-1.133338,-1.34563204,-0.67831213,-0.45257443,-0.49917187,1
ss026,-1.31783381,1.66372851,2.79001425,-1.42658951,0.89382087,0.55022777,0.62609488,1.21151249,0.53746574,0.96697537,-1.24111372,-1.61319679,1.34657196,2.10030882,0.58714515,-0.38944723,0.68792517,-0.25776277,-0.6200108,-0.28640004,0.83947975,0.66891733,0.465274,0.56833737,2.24204553,3.76040629,,1.13199768,-0.70560901,-1.12560426,-1.20842021,-0.91188088,0.52722517,1.70028305,0.94336818,0.2361532,1.78151211,0.55240318,-0.50961071,2.11007133,,0.36036571,0.75352532,0.33581275,0.6186054,0.71615021,1
ss028,-1.24738933,-0.89494161,1.06133598,0.30367132,-0.84021054,-0.68096463,-0.52957439,-0.88127137,-1.65031689,2.40220628,-0.88846456,-1.7171542,-0.73116528,-0.30342613,0.64888331,-1.22534424,-1.08081015,1.02537067,0.27831527,-1.88040985,-0.32304125,-0.47669766,-0.55581248,-0.23700069,0.69386099,0.46036012,1.04503507,-0.64296242,1.95332176,1.0174338,0.61182947,1.74570923,0.93785989,-1.14376435,-0.71791301,0.52178906,0.19923236,-0.87639271,-1.08789293,1.16466826,-0.56860196,1.14555917,-1.10529929,-0.56411641,-1.00014994,-1.15588127,1
ss029,2.71109659,2.42066642,,0.48715735,1.41256273,1.54929428,-0.96360374,,,4.48433569,,-1.16091748,2.95160819,1.30606626,-0.70264124,0.97186708,1.96010446,0.99543034,-1.01982533,0.64777936,0.5949565,-1.15106636,-0.57724197,1.40796398,-1.34470516,-1.0669633,,2.91432183,4.72451936,-2.77313086,-2.05284954,0.98327938,1.31706387,-1.05221771,   ,-0.99210066,-1.86734346,-1.59501604,-0.76687163,-1.42786748,-0.94901134,-1.76612762,-4.20684324,,-0.7851795,-0.83101669,1
ss031,-1.83880803,1.90178159,1.19117876,0.84496923,2.08894857,1.34793958,1.06557967,1.38131492,2.44357254,2.68807865,-1.88704536,1.43062709,0.41092623,0.74667985,0.63881687,1.99839921,1.019023,0.85050188,0.63960266,0.68519053,0.71413073,-1.82930075,2.0793053,0.39474166,-0.60573475,-0.62242223,-3.06874453,-1.46731333,3.21585159,0.81665092,1.62589835,2.28137138,,1.38601036,1.03067226,0.86883129,1.97519699,1.89220977,0.82265965,1.58786548,1.83056035,,,-0.60775825,-0.96107237,-1.13365749,1
